id,type,building_name,floor,x,y
420,path,Veterinary Diagnostic Laboratory,03,-93.18213334413475,44.981615315584165
422,path,Veterinary Medical Ctr North,03,-93.1827134905183,44.98210083751255
423,path,Veterinary Medical Ctr North,03,-93.18271373126679,44.98185174937205
424,path,Veterinary Medical Ctr North,03,-93.18336793745728,44.982103325116185
425,path,Veterinary Medical Ctr North,03,-93.18336783594766,44.982132563822745
426,path,Veterinary Medical Ctr North,03,-93.18343545034246,44.9821331286959
427,path,Veterinary Medical Ctr North,03,-93.1835811894209,44.98227645380225
428,path,Veterinary Medical Ctr North,03,-93.18363999763098,44.982277002788976
429,path,Veterinary Medical Ctr North,03,-93.18364042792399,44.98231050494725
430,path,Veterinary Medical Ctr North,03,-93.18266833400558,44.98210057509102
433,path,Dining Ctr,02,-93.18541743659148,44.985192232991835
434,path,Dining Ctr,02,-93.18582060318593,44.98519144831112
436,path,Learning & Environmental Sciences,03,-93.18235756003642,44.984056998476916
437,path,Learning & Environmental Sciences,03,-93.18235765166457,44.98403310812547
438,path,Learning & Environmental Sciences,03,-93.18268409943884,44.984034575222104
439,path,Learning & Environmental Sciences,03,-93.18272981829689,44.98400117573248
440,path,Learning & Environmental Sciences,03,-93.1829565988887,44.98400161732309
441,path,Biological Sciences,01,-93.18249882819968,44.9851460956553
442,path,Biological Sciences,01,-93.18249915069487,44.98505376305212
443,path,Biological Sciences,01,-93.18249898001497,44.98499015162769
444,path,Biological Sciences,01,-93.18243028943844,44.98498999532637
447,path,Ecology Bldg,01,-93.18306498961087,44.98591558647309
448,path,Ecology Bldg,01,-93.18298298061195,44.985915210339385
449,path,Ecology Bldg,01,-93.18298253325095,44.985871505113046
450,path,Ecology Bldg,01,-93.18297334797717,44.9857957547302
451,path,Ecology Bldg,01,-93.18297757275394,44.98560321485574
453,path,Ecology Bldg,01,-93.18303993290264,44.985916714874115
454,path,Ecology Bldg,01,-93.18307340772338,44.98606261643396
455,path,Ecology Bldg,01,-93.18311672089314,44.986258707047305
456,path,Borlaug Hall,02,-93.18311835133537,44.98626608799089
457,path,Borlaug Hall,02,-93.18313769835164,44.98626417747214
458,path,Borlaug Hall,02,-93.18314711179751,44.986308445960425
459,path,Borlaug Hall,02,-93.18322402734877,44.986690272403955
460,path,Borlaug Hall,02,-93.18308372038285,44.98631474488544
